index,Title,Location,Address,Area Type,Price,Total Sqft,Size,Bath,Rating,Latitude,Longitude,Availability,Images,City
2088,Paras Tierea,2 BHK Flat for rent in Sector 137 Noida,Sector 137 Noida,Super Built-up Area,28000.0,825,2,2,0.0,28.5091263,77.40949057549227,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Noida
2089,Emaar MGF Emerald Estate,2 BHK Flat for rent in Sector 65 Gurgaon,Sector 65 Gurgaon,Super Built-up Area,48000.0,1020,2,2,3.8,28.4042354,77.06925773240255,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Gurgaon
2090,The Golden Palm,1 BHK Flat for rent in Sector 168 Noida,Sector 168 Noida,Super Built-up Area,27000.0,506,1,1,4.0,28.4950417,77.409942,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Noida
2091,Paras Tierea,3 BHK Flat for rent in Sector 137 Noida,Sector 137 Noida,Super Built-up Area,35000.0,1330,3,2,0.0,28.5091263,77.40949057549227,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Noida
2097,Hiranandani Gardens Cypress,"1 BHK Flat for rent in Hiranandani Gardens Powai, Mumbai","Hiranandani Gardens Powai, Mumbai",Super Built-up Area,42000.0,600,1,2,0.0,19.114405,72.91104954195528,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Mumbai
2098,Unitech Fresco,"2 BHK Flat for rent in Nirvana Country, Gurgaon","Nirvana Country, Gurgaon",Super Built-up Area,46000.0,1418,2,2,3.8,28.41505085,77.06429550564044,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Gurgaon
2100,Emaar Digihomes,2 BHK Flat for rent in Sector 62 Gurgaon,Sector 62 Gurgaon,Super Built-up Area,65000.0,1508,2,2,0.0,28.407697,77.0823781,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Gurgaon
2101,on requesr,"1 BHK Flat for rent in Kirtane Baugh, Pune","Kirtane Baugh, Pune",Built-up Area,17000.0,680,1,2,0.0,18.521428,73.8544541,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Pune
2102,Ireo Uptown,4 BHK Flat for rent in Sector 66 Gurgaon,Sector 66 Gurgaon,Super Built-up Area,65000.0,2012,4,4,4.1,28.3974292,77.0538823,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://imagecdn.99acres.com/media1/23830/3/476603222M-1709198334900.jpg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Gurgaon
2105,Ireo Victory Valley,3 BHK Flat for rent in Sector 67 Gurgaon,Sector 67 Gurgaon,Super Built-up Area,75000.0,2382,3,3,4.1,28.3864052,77.0598046,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Gurgaon
