,Title,Location,Address,Area Type,Price,Total Sqft,Size,Bath,Rating,Latitude,Longitude,Availability,Images
2111,"Sector 45, Gurgaon",3 BHK Independent Builder Floor for rent in Sector 45 Gurgaon,Sector 45 Gurgaon,Super Built-up Area,"45,000 ","2,200",3,3,0,28.4449004,77.0663545,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2112,Kanakia Zen World,"1 BHK Flat for rent in Kanjurmarg East, Mumbai","Kanjurmarg East, Mumbai",Super Built-up Area,"39,000 ",600,1,2,0,19.1378308,72.9361964,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2113,Pratik Gardens,"2 BHK Flat for rent in Sector 34 Kamothe, Navi Mumbai","Sector 34 Kamothe, Navi Mumbai",Built-up Area,"29,000 ","1,155",2,2,0,19.0785451,72.878176,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2114,Maxheights Dream Homes,"2 BHK Flat for rent in Kundli, Sonipat","Kundli, Sonipat",Super Built-up Area,"7,600 ",950,2,2,4.0,28.8696747,77.1198167,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2115,karle Zenith,"3 BHK Flat for rent in Hebbal Kempapura, Bangalore North","Hebbal Kempapura, Bangalore North",Super Built-up Area,1.6 Lac ,"3,600",3,4,0,13.050194,77.6075951,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2116,Maithri Shilpitha Splendour,"2 BHK Flat for rent in Mahadevpura, Bangalore East","Mahadevpura, Bangalore East",Carpet Area,"50,000 ","1,250",2,2,3.5,12.99678075,77.692813,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2117,Saranya Sreshta,"3 BHK Flat for rent in Nallurhalli, Bangalore East","Nallurhalli, Bangalore East",Carpet Area,"60,000 ","1,735",3,3,0,12.9766408,77.7248845,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2118,Swaraj Bella Vita,"2 BHK Flat for rent in Ghansoli, Navi Mumbai","Ghansoli, Navi Mumbai",Super Built-up Area,"37,000 ",988,2,2,0,19.1193307,72.9995096,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2119,Tridhaatu Morya,"1 BHK Flat for rent in Deonar, Mumbai","Deonar, Mumbai",Carpet Area,"45,000 ",574,1,2,0,19.0475502,72.9051895,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2120,Nilgiri Gardens,"1 BHK Flat for rent in Belapur, Navi Mumbai","Belapur, Navi Mumbai",Super Built-up Area,"20,000 ",600,1,1,0,19.0088415,73.0287773,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
